Contour,Area,kModel (normalized mode 1),kModel (normalized mode 2)
X00,4053.09,-2.64748,1.63207
X01,3241.68,-1.40547,1.0132
X02,2856.69,0.0186734,-1.78872
X03,2933.13,0.140069,-2.48149
X04,3224.59,-0.841456,-0.526703
X05,2939.18,-0.463452,-0.418702
X06,3066.69,-1.03061,0.59699
X07,3073.67,-0.82976,-0.216979
X08,2604.46,0.312368,-1.30531
X09,2471.03,-0.159808,0.412728
X10,3555.1,-1.07021,-1.52663
X11,3334.18,-0.318768,-2.33479
X12,4879.71,-1.60443,-2.48407
X13,2643.52,0.270239,-1.58342
X14,3735.26,-1.41803,-0.341777
X15,3932.28,-1.05396,-1.35795
X16,3230.82,-0.53148,-0.895853
X17,3795,-1.201,-1.23055
X18,2117.07,0.496097,0.100837
X19,3460.38,-0.93407,-0.98828
X20,2370.32,0.0133432,0.420214
X21,2165.03,0.0336969,0.643804
X22,1761.02,0.975023,-0.301246
X23,3456.88,-0.731613,-1.24924
X24,3849.37,-1.92465,0.74927
X25,1762.98,0.848676,0.513625
X26,2621.61,-0.171862,-0.45888
X27,1750.18,0.956525,-0.0588796
X28,3439.91,-0.744806,-1.35549
X29,1532.49,1.54345,-0.679404
X30,2717.15,-0.0208443,-0.815905
X31,2169.54,0.707737,-0.864323
X32,1905.21,0.92346,-0.515324
X33,1823.88,0.755447,0.177581
X34,2206.16,0.522906,-0.56314
X35,2918.67,-0.949547,0.914793
X36,2197.09,0.573131,-0.534645
X37,2134.07,0.182448,0.50394
X38,3422.58,-0.89254,-0.511375
X39,2443.13,-0.0408814,0.0626897
X40,1151.7,1.49443,1.49123
X41,3171,-1.50041,1.30651
X42,949.841,2.15035,0.713516
