Contour,Mode 1 (normalized),Mode 2 (normalized)
WT00-1,-1.21817,0.601156
WT00-2,-1.05412,-0.151046
WT00-3,-0.439725,0.321229
WT00-4,-0.25975,-0.219178
WT01-1,-0.886604,0.147625
WT01-2,-0.637439,-0.649994
WT01-3,-0.63189,-0.776074
WT01-4,-0.441875,0.213262
WT02-1,-0.923647,-0.5958
WT02-2,-0.657099,1.40958
WT02-3,-0.177918,0.860567
WT03-1,-0.679952,-0.272097
WT03-2,-0.599779,0.249001
WT03-3,-0.876214,1.02495
WT03-4,-0.632662,-0.277015
WT03-5,0.0971862,-0.128042
WT03-6,0.555495,0.479017
WT04-1,0.0593488,0.0696538
WT04-2,0.336695,-0.587325
WT04-3,0.465417,1.09464
WT04-4,0.59927,-1.11627
WT05-1,-0.234479,0.633468
WT05-2,0.191182,0.244142
WT05-3,0.440499,-1.34908
WT05-4,0.960011,3.11828
WT05-5,1.62983,-4.0696
WT05-6,1.54385,-1.45031
WT06-01,-0.872504,-0.877941
WT06-02,-0.629144,-0.0111134
WT06-03,-0.0813142,0.611105
WT06-04,-0.182621,0.382762
WT06-05,0.0453665,-1.00304
WT06-06,0.127297,-0.753836
WT06-07,0.172382,0.0544736
WT06-08,0.5523,1.04934
WT06-09,1.11824,1.023
WT06-10,2.09895,1.90908
WT06-11,2.12902,1.64805
WT07-1,-1.0824,0.249666
WT07-2,-0.685041,0.193718
WT07-3,-0.786785,0.0200989
WT07-4,-0.15465,0.373563
WT07-5,-0.0959974,0.230736
WT07-6,-0.112308,0.0101284
WT07-7,0.507323,1.13342
WT07-8,0.668536,1.73576
WT07-9,0.906263,1.30693
WT08-1,-1.55326,-0.810861
WT08-2,-1.54659,0.038165
WT08-3,-0.505618,-0.427567
WT08-4,0.0639981,0.854788
WT08-5,0.744723,-0.285494
WT08-6,-0.0620742,-0.363356
WT08-7,-0.0693733,-0.904296
WT08-8,0.850693,0.12605
WT08-9,3.05654,-2.18711
WT09-1,-1.51091,-0.511034
WT09-2,-1.55818,0.571382
WT09-3,-0.747552,0.464898
WT09-4,-0.736876,0.21219
WT09-5,-0.348207,0.799953
WT09-6,0.0248104,0.685616
WT09-7,0.507118,-1.26233
WT09-8,0.261428,-1.06215
WT09-9,0.555164,-0.883055
WT10-01,-0.977446,0.390693
WT10-02,-0.707255,-0.0249821
WT10-03,-0.463768,-0.14917
WT10-04,-0.512531,-0.730164
WT10-05,-0.51178,-0.0659834
WT10-06,-0.250362,-0.191849
WT10-07,-0.0402963,0.592231
WT10-08,-0.197858,1.27518
