Contour,Mode 1,Mode 2
WT00-1,-28.8157,3.11534
WT00-2,-24.9352,-0.782758
WT00-3,-10.4017,1.66469
WT00-4,-6.14439,-1.13583
WT01-1,-20.9726,0.765028
WT01-2,-15.0786,-3.36843
WT01-3,-14.9474,-4.02181
WT01-4,-10.4526,1.10518
WT02-1,-21.8489,-3.08758
WT02-2,-15.5437,7.30481
WT02-3,-4.20864,4.45967
WT03-1,-16.0843,-1.41007
WT03-2,-14.1878,1.29038
WT03-3,-20.7268,5.31152
WT03-4,-14.9656,-1.43556
WT03-5,2.29894,-0.663547
WT03-6,13.1402,2.48238
WT04-1,1.4039,0.360963
WT04-2,7.96452,-3.04366
WT04-3,11.0094,5.67269
WT04-4,14.1757,-5.78476
WT05-1,-5.5466,3.28278
WT05-2,4.5224,1.2652
WT05-3,10.42,-6.99125
WT05-4,22.7091,16.1597
WT05-5,38.5537,-21.0897
WT05-6,36.5197,-7.51588
WT06-01,-20.6391,-4.5497
WT06-02,-14.8824,-0.0575922
WT06-03,-1.92349,3.16689
WT06-04,-4.31989,1.98356
WT06-05,1.07315,-5.19801
WT06-06,3.01121,-3.90656
WT06-07,4.0777,0.282296
WT06-08,13.0647,5.43792
WT06-09,26.4519,5.30142
WT06-10,49.6507,9.89331
WT06-11,50.362,8.54059
WT07-1,-25.6043,1.29383
WT07-2,-16.2046,1.00389
WT07-3,-18.6114,0.104157
WT07-4,-3.65826,1.93589
WT07-5,-2.27082,1.19573
WT07-6,-2.65666,0.0524876
WT07-7,12.0007,5.87368
WT07-8,15.8142,8.99514
WT07-9,21.4377,6.77283
WT08-1,-36.7424,-4.20208
WT08-2,-36.5847,0.197781
WT08-3,-11.9604,-2.21576
WT08-4,1.51388,4.42972
WT08-5,17.6164,-1.4795
WT08-6,-1.46836,-1.883
WT08-7,-1.64102,-4.68628
WT08-8,20.1231,0.653224
WT08-9,72.3026,-11.3341
WT09-1,-35.7405,-2.6483
WT09-2,-36.8587,2.96104
WT09-3,-17.6833,2.40921
WT09-4,-17.4308,1.09962
WT09-5,-8.23684,4.14555
WT09-6,0.58689,3.55303
WT09-7,11.9959,-6.5417
WT09-8,6.18408,-5.50433
WT09-9,13.1324,-4.5762
WT10-01,-23.1215,2.02466
WT10-02,-16.7301,-0.129463
WT10-03,-10.9704,-0.773033
