Contour,Mode 1 (normalized),Mode 2 (normalized),Mode 3 (normalized),Mode 4 (normalized)
A00,0.166435,1.61115,-0.0214412,-0.366697
A01,0.460114,-0.7205,-0.871122,0.635176
A02,-0.693189,0.443057,-0.587277,-0.86922
A03,-0.10395,0.26269,0.36956,-1.67129
A04,-0.917513,0.121774,-0.452269,1.68571
A05,-1.32018,0.168438,-0.630197,-1.79646
A06,-0.619219,0.0851851,-0.563146,0.777993
A07,0.114442,0.573974,-0.382958,0.512034
A08,-0.739902,1.16036,-0.574173,0.415454
A09,-2.09522,0.482236,-1.40885,0.0247731
A10,-0.980378,0.657689,-0.679972,-1.65626
A11,-0.560078,0.591662,-0.523467,-0.316993
A12,-0.607692,-0.23398,-0.965147,-3.13398
A13,-1.03135,-0.49786,-1.07168,0.567456
A14,-1.558,-1.48603,-1.51722,-0.133834
A15,-2.0893,0.851706,0.671536,-2.67762
A16,-1.149,1.26577,-0.126412,0.694531
A17,0.624934,1.39441,-0.413404,0.790505
A18,-0.468398,-0.0972177,-0.810333,1.67837
A19,0.468877,-0.627221,-0.948663,1.04618
A20,-0.451505,0.498673,-0.704346,0.758501
A21,1.68813,0.226057,-0.186941,-0.23458
A22,1.51264,0.351339,-0.628217,-0.932906
A23,-0.253527,0.501846,-0.806052,1.3612
A24,-0.0257929,1.48242,0.218914,-1.23904
A25,0.0319898,0.887269,-0.114168,2.20091
A26,-0.108394,-0.351506,-0.675107,0.634171
A27,1.29509,0.921722,-0.320781,-0.776423
A28,-0.807257,-0.572549,-1.53576,-0.786839
A29,-0.849003,-1.12583,-0.824306,0.587626
A30,0.195841,-0.159883,-1.0252,0.833897
A31,-0.413975,0.34177,-0.970305,-0.324693
A32,-0.113405,-0.282731,-0.794415,0.71976
A33,0.070256,0.641008,-0.432551,0.530996
A34,-2.16166,2.25796,0.233999,-1.69126
A35,-0.12528,-0.0227951,-0.918441,-0.39288
A36,-1.29065,-1.16416,-1.55701,-2.21863
A37,0.179528,1.74949,-0.124681,-0.208868
A38,-1.52728,0.106504,-0.0421914,0.273833
A39,0.559122,0.877243,-0.183955,-0.110543
A40,-0.624431,-0.399688,-0.64129,-0.34222
A41,-0.847356,-0.561995,-0.574388,-0.370115
A42,-1.73394,-0.546491,-1.08841,-0.715561
A43,-1.22743,0.803143,-0.822285,-0.313364
A44,0.39624,-1.34702,-1.38097,0.58962
A45,1.43561,0.757246,0.23567,0.181282
A46,-2.31573,1.11001,0.650804,0.670882
A47,-0.712562,0.276151,-0.338041,0.764723
A48,-0.390873,-1.29415,0.0536755,0.805896
A49,-0.958442,0.281344,-0.369757,-0.991874
A50,-0.826693,-1.61355,0.0933331,0.89868
A51,0.538247,1.24762,0.960977,0.83208
A52,-0.914162,-0.523117,-0.642149,-0.045661
A53,-0.559542,-0.350548,-0.736181,0.0104678
A54,-0.8425,0.512628,-0.862338,0.2259
A55,-0.249218,-0.546644,-0.876606,-1.02955
B00,2.65103,1.11503,-0.0572632,-0.553897
B01,1.01467,-0.975374,-0.722071,-1.45129
B02,0.04823,0.281717,1.81437,0.985884
B03,0.344026,0.665777,0.0349483,-0.369368
B04,-0.335445,2.05841,-0.0785413,0.340323
B05,0.73475,0.318073,-0.0788672,0.472073
